dataset,dataset_stage,dataset_pass,training_stage,checkpoint,metric_name,metric_value,weight_path,net
KITTI,train,,S,raft-sintel.pth,EPE,1.5272690057754517,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,S,raft-sintel.pth,IR_{1px},0.7628043273625988,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,S,raft-sintel.pth,IR_{3px},0.9172713912149546,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,S,raft-sintel.pth,IR_{5px},0.9505313812117656,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,S,raft-sintel.pth,fl-kitti,0.0547603215365371,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,S,raft-sintel.pth,MSE,23.400102615356445,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,S,raft-sintel.pth,WAUC,0.7520748648192197,models/_pretrained_weights/raft-sintel.pth,RAFT
KITTI,train,,K,raft-kitti.pth,EPE,0.6309887170791626,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,K,raft-kitti.pth,IR_{1px},0.8785218901104993,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,K,raft-kitti.pth,IR_{3px},0.9702099786675292,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,K,raft-kitti.pth,IR_{5px},0.985715641613032,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,K,raft-kitti.pth,fl-kitti,0.0151763387463765,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,K,raft-kitti.pth,MSE,7.787985801696777,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,K,raft-kitti.pth,WAUC,0.854698879459419,models/_pretrained_weights/raft-kitti.pth,RAFT
KITTI,train,,C,raft-chairs.pth,EPE,9.931269645690918,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,raft-chairs.pth,IR_{1px},0.3434464744119336,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,raft-chairs.pth,IR_{3px},0.627882277314531,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,raft-chairs.pth,IR_{5px},0.7215061301069625,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,raft-chairs.pth,fl-kitti,0.3638642057532051,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,raft-chairs.pth,MSE,356.2690734863281,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,raft-chairs.pth,WAUC,0.4227015899221044,models/_pretrained_weights/raft-chairs.pth,RAFT
KITTI,train,,C,gma-chairs.pth,EPE,11.163634300231934,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C,gma-chairs.pth,IR_{1px},0.3787986984718084,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C,gma-chairs.pth,IR_{3px},0.6352821461306872,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C,gma-chairs.pth,IR_{5px},0.7180801751692673,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C,gma-chairs.pth,fl-kitti,0.3576884728306541,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C,gma-chairs.pth,MSE,471.5930480957031,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C,gma-chairs.pth,WAUC,0.441400004559327,models/_pretrained_weights/gma-chairs.pth,GMA
KITTI,train,,C+T,gma-things.pth,EPE,6.0722737312316895,models/_pretrained_weights/gma-things.pth,GMA
